"month","unique_carrier","carrier_name","sdomt_gallons","satl_gallons","spac_gallons","slat_gallons","sint_gallons","ts_gallons","tdomt_gallons","tint_gallons","total_gallons","sdomt_cost","satl_cost","spac_cost","slat_cost","sint_cost","ts_cost","tdomt_cost","tint_cost","total_cost","year"
3,"CP","Compass Airlines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"DL","Delta Air Lines Inc.",187116451,51208157,29039222,29626719,109874098,296990549,189695114,110256891,299952005,379215596,103779928,58851724,60042363,222674015,601889611,385807332,223449795,609257127,2019
3,"EV","ExpressJet Airlines Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"F9","Frontier Airlines Inc.",19844056,0,0,2296146,2296146,22140202,19844056,2296146,22140202,38296243,0,0,4598255,4598255,42894498,38296243,4598255,42894498,2019
3,"FX","Federal Express Corporation",59597384,14946076,21935646,1954871,38836593,98433977,61495565,39837097,101332662,117707000,29910000,43924000,4462000,78296000,196003000,121522000,80634514,202156514,2019
3,"G4","Allegiant Air",19112504,0,0,0,0,19112504,19457496,241511,19699007,42155397,0,0,0,0,42155397,42946254,573890,43520144,2019
3,"G7","GoJet Airlines LLC d/b/a United Express",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"GFQ","Gulf And Caribbean Cargo",0,0,0,0,0,0,271265,118131,389396,0,0,0,0,0,0,707757,328423,1036180,2019
3,"GL","Miami Air International",0,0,0,0,0,0,535031,409667,944698,0,0,0,0,0,0,1510093,1156258,2666351,2019
3,"HA","Hawaiian Airlines Inc.",15074904,0,6868252,0,6868252,21943156,15074904,6868252,21943156,29926149,0,13490935,0,13490935,43417084,29926149,13490935,43417084,2019
3,"KAQ","Kalitta Air LLC",0,0,0,0,0,0,2850738,4086355,6937093,0,0,0,0,0,0,6114511,10033932,16148443,2019
3,"KD","Western Global",0,0,0,0,0,0,1757258,1498463,3255721,0,0,0,0,0,0,3799780,1891764,5691544,2019
3,"KH","Aloha Air Cargo",388491,0,0,0,0,388491,388491,0,388491,770139,0,0,0,0,770139,770139,0,770139,2019
3,"KLQ","Kalitta Charters II",0,0,0,0,0,0,353642,5761,359403,0,0,0,0,0,0,895857,14948,910805,2019
3,"L2","Lynden Air Cargo Airlines",101751,0,0,0,0,101751,186550,0,186550,249880,0,0,0,0,249880,487617,0,487617,2019
3,"M6","Amerijet International",0,0,0,1542592,1542592,1542592,571030,1757801,2328831,0,0,0,3380082,3380082,3380082,1251224,3851642,5102866,2019
3,"MQ","Envoy Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"N8","National Air Cargo Group Inc d/ba National Airlines",0,0,0,0,0,0,108920,1025984,1134904,0,0,0,0,0,0,413110,3086189,3499299,2019
3,"NC","Northern Air Cargo Inc.",279333,0,0,0,0,279333,328645,0,328645,613337,0,0,0,0,613337,723951,0,723951,2019
3,"NK","Spirit Air Lines",35893084,0,0,4481589,4481589,40374673,35893084,4481589,40374673,77330846,0,0,9655482,9655482,86986328,77330846,9655482,86986328,2019
3,"OH","PSA Airlines Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"OO","SkyWest Airlines Inc.",8558824,0,0,0,0,8558824,8558824,0,8558824,20654129,0,0,0,0,20654129,20654129,0,20654129,2019
3,"PFQ","Asia Pacific",0,0,0,0,0,0,0,368456,368456,0,0,0,0,0,0,0,856040,856040,2019
