"seats","passengers","distance","unique_carrier","year","month","class"
13,4,3672,"LF",2018,10,"L"
6472,4462,1622,"AA",2019,3,"F"
5548,3260,226,"OH",2018,9,"F"
775,0,1017,"WL",2018,2,"L"
152,128,543,"QX",2018,9,"F"
44,37,610,"MQ",2019,8,"F"
1550,1115,713,"QK",2019,8,"F"
0,0,147,"YR",2019,10,"L"
1120,886,980,"G7",2018,2,"F"
9,6,58,"5V",2019,2,"L"
0,0,13,"7S",2018,8,"G"
166,68,1262,"UA",2019,5,"L"
0,0,781,"5X",2019,10,"G"
9222,8416,3870,"UA",2019,6,"F"
48594,42568,954,"DL",2019,7,"F"
870,642,373,"3M",2019,4,"F"
300,199,651,"AA",2019,5,"F"
4100,2955,166,"EV",2019,1,"F"
300,289,1134,"UA",2019,5,"F"
100,0,1064,"OO",2019,5,"F"
65,65,821,"EV",2018,5,"F"
570,381,255,"1WQ",2018,11,"L"
0,0,229,"5Y",2018,3,"P"
1084,807,1316,"CM",2019,3,"F"
160,137,1042,"AA",2019,7,"F"
2356,2128,1210,"OO",2018,7,"F"
17608,14853,888,"AA",2018,12,"F"
179,56,370,"09Q",2018,1,"L"
3900,3412,1167,"UA",2018,1,"F"
1900,1664,1694,"OO",2019,9,"F"
100,80,240,"OH",2018,10,"F"
72,0,80,"DL",2019,2,"L"
168,162,1403,"SY",2018,4,"L"
128,116,930,"AA",2018,8,"F"
65,55,605,"OH",2019,8,"F"
3348,2994,770,"F9",2019,8,"F"
0,0,1622,"NC",2019,9,"P"
20735,17177,616,"WN",2019,12,"F"
9,4,279,"LF",2018,7,"L"
0,0,481,"FX",2018,7,"G"
30835,29017,1464,"AA",2019,12,"F"
4500,3316,1139,"4O",2019,11,"F"
400,157,2176,"AC",2018,3,"F"
60,0,844,"AMQ",2018,5,"L"
3200,2201,599,"UA",2019,5,"F"
6670,4931,406,"NK",2019,7,"F"
1350,1119,344,"OO",2019,7,"F"
179,146,326,"UA",2019,7,"F"
160,147,1521,"DL",2019,10,"F"
10010,8615,236,"NK",2019,7,"F"
69,34,1368,"YX",2018,3,"F"
44,17,1158,"MQ",2019,5,"F"
745,712,879,"DL",2018,4,"F"
4500,4309,1032,"AA",2019,7,"F"
4311,4167,1494,"Y4",2018,1,"F"
3920,3456,1195,"OO",2018,6,"F"
3192,2711,1501,"YX",2019,8,"F"
9464,8119,334,"UA",2019,9,"F"
4800,4524,4401,"KL",2018,5,"F"
0,0,100,"1TQ",2018,11,"P"
126,116,691,"SY",2018,10,"L"
1092,942,732,"G4",2018,5,"F"
128,78,489,"UA",2019,7,"F"
186,176,1716,"F9",2019,6,"F"
1494,1275,819,"UA",2018,8,"F"
5040,4129,812,"AA",2019,3,"F"
900,804,951,"F9",2019,1,"F"
1500,863,654,"OO",2019,9,"F"
175,136,639,"WN",2018,5,"F"
143,143,985,"WN",2018,10,"F"
1328,1118,1009,"G4",2018,10,"F"
0,0,3417,"KE",2018,6,"G"
8,8,1804,"LF",2018,3,"L"
8497,7077,3457,"DL",2018,11,"F"
660,501,147,"MQ",2019,11,"F"
6,5,70,"3AQ",2018,8,"L"
9,3,194,"LF",2018,12,"L"
150,110,1121,"LR",2018,11,"F"
9300,8339,1608,"B6",2019,5,"F"
1863,1431,76,"OO",2019,9,"F"
700,415,353,"WN",2019,1,"F"
8755,7545,5677,"DL",2018,4,"F"
0,0,256,"FX",2019,3,"G"
27599,19422,601,"WN",2019,9,"F"
11754,8796,235,"OO",2018,3,"F"
76,34,94,"CP",2019,1,"F"
4000,2914,517,"EV",2019,4,"F"
4027,3419,235,"9E",2018,4,"F"
316,293,134,"DL",2019,7,"F"
